你叫什么名字？|Tên bạn là gì?
我叫李月。|Tôi tên là Lý Nguyệt.
请问，您贵姓？|Xin hỏi, quý tính của ngài là gì?
我姓陈。|Tôi họ Trần.
你姓什么？|Bạn họ gì?
他叫什么名字？|Anh ấy tên là gì?
她叫陈楠。|Cô ấy tên là Trần Nam.
他叫刘国安吗？|Anh ấy tên là Lưu Quốc An phải không?
她姓王。|Cô ấy họ Vương.
他姓李吗？|Anh ấy họ Lý phải không?
你是越南人吗？|Bạn là người Việt Nam phải không?
我是越南人。|Tôi là người Việt Nam.
他是中国人吗？|Anh ấy là người Trung Quốc phải không?
她是美国人。|Cô ấy là người Mỹ.
我们是越南人。|Chúng tôi là người Việt Nam.
他们是中国人吗？|Họ là người Trung Quốc phải không?
她们是韩国人吗？|Họ (nữ) là người Hàn Quốc phải không?
陈楠是越南人吗？|Trần Nam là người Việt Nam phải không?
他是日本人吗？|Anh ấy là người Nhật Bản phải không?
她是泰国人，我是美国人。|Cô ấy là người Thái Lan, tôi là người Mỹ.
她是泰国人，她说泰语。|Cô ấy là người Thái Lan, cô ấy nói tiếng Thái.
我是中国人，我说汉语。|Tôi là người Trung Quốc, tôi nói tiếng Hán.
他们是德国人，他们说德语。|Họ là người Đức, họ nói tiếng Đức.
她是韩国人，她说韩语。|Cô ấy là người Hàn Quốc, cô ấy nói tiếng Hàn.
我爸爸是越南人，他说越南语。|Bố tôi là người Việt Nam, ông ấy nói tiếng Việt.
我弟弟是英国人，他说英语。|Em trai tôi là người Anh, cậu ấy nói tiếng Anh.
他是泰国人，他不说说汉语。|Anh ấy là người Thái Lan, anh ấy không nói tiếng Hán.
他是韩国人，他不说日语。|Anh ấy là người Hàn Quốc, anh ấy không nói tiếng Nhật.
你说汉语吗？|Bạn nói tiếng Hán không?
我说越南语。|Tôi nói tiếng Việt.
他说英语吗？|Anh ấy nói tiếng Anh không?
我们说越南语。|Chúng tôi nói tiếng Việt.
他们说汉语。|Họ nói tiếng Hán.
她们说韩语。|Họ (nữ) nói tiếng Hàn.
老师说汉语，我们说越南语。|Giáo viên nói tiếng Hán, chúng tôi nói tiếng Việt.
学生说英语。|Học sinh nói tiếng Anh.
我说韩语，他说英语。|Tôi nói tiếng Hàn, anh ấy nói tiếng Anh.
她说日语，我说法语。|Cô ấy nói tiếng Nhật, tôi nói tiếng Pháp.
我们都是学生。|Chúng tôi đều là học sinh.
你们都是老师吗？|Các bạn đều là giáo viên phải không?
他们都是医生。|Họ đều là bác sĩ.
她们都是老师。|Họ (nữ) đều là giáo viên.
你们叫什么名字？|Các bạn tên là gì?
她们姓陈吗？|Họ (nữ) họ Trần phải không?
我们都说英语。|Chúng tôi đều nói tiếng Anh.
你们是美国人。|Các bạn là người Mỹ.
你喜欢猫吗？|Bạn thích mèo không?
我喜欢猫。|Tôi thích mèo.
我不喜欢猫。|Tôi không thích mèo.
你喜欢雪吗？|Bạn thích tuyết không?
我喜欢雪。|Tôi thích tuyết.
我不喜欢雪。|Tôi không thích tuyết.
你喜欢喝咖啡吗？|Bạn thích uống cà phê không?
我喜欢喝咖啡。|Tôi thích uống cà phê.
我不喜欢喝咖啡。|Tôi không thích uống cà phê.
你喜欢吃火锅吗？|Bạn thích ăn lẩu không?
我喜欢吃火锅。|Tôi thích ăn lẩu.
我不喜欢吃火锅。|Tôi không thích ăn lẩu.
他喜欢喝红茶。|Anh ấy thích uống hồng trà (trà đen).
她喜欢喝牛奶。|Cô ấy thích uống sữa.
学生喜欢唱歌。|Học sinh thích ca hát.
老师喜欢喝茶。|Giáo viên thích uống trà.
我喜欢吃面包。|Tôi thích ăn bánh mì.
你喜欢水果吗？|Bạn thích trái cây không?
他喜欢游泳。|Anh ấy thích bơi lội.
她不喜欢打扫。|Cô ấy không thích dọn dẹp.
我是学生，她也是学生。|Tôi là học sinh, cô ấy cũng là học sinh.
我是越南人, 她也是越南人.|Tôi là người Việt Nam, cô ấy cũng là người Việt Nam.
我喜欢喝可乐，她也喜欢喝可乐。|Tôi thích uống Coca Cola, cô ấy cũng thích uống Coca Cola.
我说汉语，他也说汉语。|Tôi nói tiếng Hán, anh ấy cũng nói tiếng Hán.
我喜欢唱歌，她也喜欢唱歌。|Tôi thích ca hát, cô ấy cũng thích ca hát.
我喜欢喝牛奶，他也喜欢喝牛奶。|Tôi thích uống sữa, anh ấy cũng thích uống sữa.
他是老师，我也是老师。|Anh ấy là giáo viên, tôi cũng là giáo viên.
他姓王, 我也姓王.|Anh ấy họ Vương, tôi cũng họ Vương.
你说英语, 我也说英语.|Bạn nói tiếng Anh, tôi cũng nói tiếng Anh.
她喜欢吃火锅, 我也喜欢吃火锅.|Cô ấy thích ăn lẩu, tôi cũng thích ăn lẩu.
我们都是越南人。|Chúng tôi đều là người Việt Nam.
我们都喜欢喝牛奶。|Chúng tôi đều thích uống sữa.
他们都是中国人。|Họ đều là người Trung Quốc.
她们都喜欢唱歌。|Họ (nữ) đều thích ca hát.
学生们都说汉语。|Các học sinh đều nói tiếng Hán.
老师们都喜欢喝茶。|Các giáo viên đều thích uống trà.
你们都喜欢雪吗？|Các bạn đều thích tuyết không?
我们都姓陈。|Chúng tôi đều họ Trần.
他们都叫李月。|Họ đều tên là Lý Nguyệt.
我们都说英语。|Chúng tôi đều nói tiếng Anh.
这是什么？|Đây là cái gì?
这是什么书？|Đây là sách gì?
这是汉语书。|Đây là sách tiếng Hán.
你喝什么茶?|Bạn uống trà gì?
我喝茶。|Tôi uống trà.
你喝什么茶？|Bạn uống trà gì?
这是红茶。|Đây là hồng trà (trà đen).
这是什么茶？|Đây là trà gì?
这是奶茶。|Đây là trà sữa.
我叫陈楠。|Tôi tên là Trần Nam.
那是什么笔？|Kia là bút gì?
那是毛笔。|Kia là bút lông.
那是李月吗？|Kia là Lý Nguyệt phải không?
他说英语吗？|Anh ấy nói tiếng Anh không?
他不喜欢喝茶。|Anh ấy không thích uống trà.
老师不说英语。|Giáo viên không nói tiếng Anh.
我们不吃面包。|Chúng tôi không ăn bánh mì.
她不是美国人。|Cô ấy không phải là người Mỹ.
他们不喜欢打扫。|Họ không thích dọn dẹp.
学生不喝咖啡。|Học sinh không uống cà phê.
我不姓王。|Tôi không họ Vương.
他不叫国安。|Anh ấy không tên là Quốc An.
我们不喜欢雪。|Chúng tôi không thích tuyết.
她们不是老师。|Họ (nữ) không phải là giáo viên.
