爷爷|yéye|ông 
奶奶|nǎinai|bà
爸爸|bàba|bố
妈妈|māma|mẹ
哥哥|gēge|anh trai
姐姐|jiějie|chị gái
弟弟|dìdi|em trai
妹妹|mèimei|em gái
医生|yīshēng|bác sĩ
记者|jìzhě|phóng viên
公安|gōng'ān|công an
警察|jǐngchá|cảnh sát
律师|lǜshī|luật sư
厨师|chúshī|đầu bếp
演员|yǎnyuán|diễn viên
司机|sījī|tài xế
护士|hùshi|y tá
部队|bùduì|bộ đội
消防员|xiāofáng yuán|lính cứu hỏa
工人|gōngrén|công nhân
农民|nóngmín|nông dân
公务员|gōngwù yuán|công chức
云|yún|mây
人|rén|người
元|yuán|tệ
羊|yáng|cừu
船|chuán|thuyền
菜|cài|món ăn
冰箱|bīngxiāng|tủ lạnh
吃|chī|ăn
山|shān|núi
床|chuáng|giường
手|shǒu|tay
热|rè|nóng
手表|shǒubiǎo|đồng hồ
护士|hùshì|y tá
星|xīng|ngôi sao
机场|jīchǎng|sân bay
熊|xióng|gấu
熊猫|xióngmāo|gấu trúc
爬山|páshān|leo núi
足球|zúqiú|bóng đá
钟|zhōng|đồng hồ
鸡蛋|jīdàn|trứng gà
