你|nǐ|bạn, cậu
我|wǒ|tôi
您|nín|ngài (lịch sự)
老师|lǎoshī|thầy/cô giáo
学生|xuésheng|học sinh
好|hǎo|tốt, khỏe
很|hěn|rất
吗|ma|không(trợ từ nghi vấn)
谢谢|xièxie|cảm ơn
这|zhè|này, đây
那|nà|kia, đó
是|shì|là
不|bù|không (phủ định)
本子|běnzi|vở
书|shū|sách
你好|nǐ hǎo|xin chào
再见|zàijiàn|tạm biệt
对不起|duìbuqǐ|Xin lỗi
没关系|méi guānxi|không có gì, không sao đâu
陈楠|Chén Nán|Trần Nam
国安|Guó’ān|Quốc An
可乐|kělè|cô ca
咖啡|kāfēi|cà phê
地图|dìtú|bản đồ
毛笔|máobǐ|bút lông
火锅|huǒguō|lẩu
烤鸭|kǎoyā|vịt quay
猫|māo|mèo
耳机|ěrjī|tai nghe
花|huā|hoa
衣|yī|áo
雪|xuě|tuyết
鞋|xié|giày
飞机|fēijī|máy bay
鱼|yú|cá
鸡|jī|gà
