冰淇淋|bīngqílín|kem
包子|bāozi|bánh bao
唱歌|chànggē|hát
啤酒|píjiǔ|bia
奶茶|nǎichá|trà sữa
学校|xuéxiào|trường học
帮助|bāngzhù|giúp đỡ
开会|kāihuì|họp
房子|fángzi| ngôi nhà
手机|shǒujī|điện thoại
打扫|dǎsǎo|quét dọn
报纸|bàozhǐ|báo giấy
摩托车|mótuōchē|xe máy
操场|cāochǎng|sân vận động
教室|jiàoshì|phòng học
星期|xīngqī|tuần
机器|jīqì|máy móc
水果|shuǐguǒ|hoa quả
汉字|hànzì|chữ Hán
汽车|qìchē|ô tô
洗澡|xǐzǎo|tắm
游泳|yóuyǒng|bơi
炒饭|chǎofàn|cơm rang
牛奶|niúnǎi|sữa bò
睡觉|shuìjiào|ngủ
篮球|lánqiú|bóng rổ
红茶|hóngchá|hồng trà
羽毛球|yǔmáoqiú|cầu lông
面包|miànbāo|bánh mì
面条|miàntiáo|mì sợi
音乐|yīnyuè|âm nhạc
香蕉|xiāngjiāo|chuối
