=== HSK1 ===
爱|ài|yêu
八|bā|tám
爸爸|bàba|bố
杯子|bēizi|cốc, chén, ly, tách
北京|Běijīng|Bắc Kinh
本|běn|quyển, gốc, vốn, thân
不客气|búkèqi|không có gì
不|bù|không, chưa
菜|cài|món ăn, thức ăn
茶|chá|trà
吃|chī|ăn
出租车|chūzūchē|taxi
打电话|dǎdiànhuà|gọi điện thoại
大|dà|to, lớn
的|de|của
点|diǎn|điểm, giờ
电脑|diànnǎo|máy vi tính
电视|diànshì|truyền hình, tivi
电影|diànyǐng|phim
东西|dōngxi|đồ
都|dōu|đều
读|dú|đọc
对不起|duìbuqǐ|xin lỗi
多|duō|nhiều
多少|duōshao|bao nhiêu, mấy
儿子|érzi|con trai
二|èr|hai
饭店|fàndiàn|nhà hàng, khách
飞机|fēijī|máy bay
高兴|gāoxìng|vui vẻ, vui mừng
个|gè|cái
工作|gōngzuò|làm việc
狗|gǒu|con chó
汉语|hànyǔ|tiếng Hán
好|hǎo|tốt, hay
喝|hē|uống
和|hé|và, với
很|hěn|rất, lắm
后面|hòumiàn|phía sau, mặt sau
回|huí|lần, về, quay lại
会|huì|hội, hợp
火车站|huǒchēzhàn|nhà ga
几|jǐ|mấy, vài
岁|suì|tuổi
家|jiā|nhà, gia đình
叫|jiào|kêu, gọi
今天|jīntiān|hôm nay
九|jiǔ|chín
开|kāi|mở, nở
看|kàn|nhìn, xem
看见|kànjiàn|nhìn thấy
块|kuài|miếng, viên, bánh
来|lái|đến, tới
老师|lǎoshī|giáo viên
了|le|rồi
冷|lěng|lạnh
里|lǐ|trong
零|líng|số không
六|liù|sáu
妈妈|māma|mẹ
吗|ma|à, ư
买|mǎi|mua
猫|māo|con mèo
没|méi|chưa, không
没关系|méiguānxi|không sao
米饭|mǐfàn|cơm
名字|míngzi|tên
明天|míngtiān|ngày mai
哪儿|nǎr|đâu, chỗ nào
那|nà|nào
呢|ne|thế, nhỉ, vậy, nhé, cơ
能|néng|có thể
你|nǐ|bạn, anh, chị, ông, bà
你们|nǐmen|các bạn
年|nián|năm
女儿|nvér|con gái
朋友|péngyou|bạn, bạn bè
苹果|píngguǒ|quả táo
七|qī|bảy
钱|qián|tiền
前面|qiánmiàn|phía trước
请|qǐng|xin, mời
去|qù|đi
热|rè|nhiệt, nóng
人|rén|người
认识|rènshi|biết, nhận biết
日|rì|ngày
三|sān|ba
商店|shāngdiàn|cửa hàng
上|shàng|lên, đi, trên
上午|shàngwǔ|buổi sáng
少|shǎo|ít, trẻ
什么|shénme|gì, cái gì
十|shí|mười
时候|shíhòu|lúc, khi
是|shì|là
书|shū|sách
谁|sheí|ai
水|shuǐ|nước
水果|shuǐguǒ|hoa quả
睡觉|shuìjiào|ngủ
说话|shuōhuà|nói ra, nói chuyện
四|sì|bốn
他|tā|anh ấy, ông ấy
她|tā|chị ấy, bà ấy
他们|tāmen|bọn họ (chỉ đàn ông)
她们|tāmen|bọn họ (chỉ phụ nữ)
太|tài|cực, nhất, quá, lắm
天气|tiānqì|thời tiết
听|tīng|nghe
同学|tóngxué|cùng học, bạn học
我|wǒ|tôi, tớ, tao, ta
我们|wǒmen|chúng tôi, chúng ta
五|wǔ|năm
喜欢|xǐhuan|thích
下|xià|dưới, sau, thấp
下午|xiàwǔ|buổi trưa
下雨|xiàyǔ|trời mưa
先生|xiānsheng|ngài, tiên sinh
现在|xiànzài|bây giờ
想|xiǎng|muốn
小|xiǎo|nhỏ, bé
小姐|xiǎojiě|tiểu thư, cô
些|xiē|một ít, một vài
写|xiě|viết
谢谢|xièxie|cảm ơn
星期|xīngqī|ngày thứ
学生|xuéshēng|học sinh
学习|xuéxí|học
学校|xuéxiào|trường học
一|yī|một
衣服|yīfu|quần áo
医生|yīshēng|bác sĩ
医院|yīyuàn|bệnh viện
椅子|yǐzi|ghế
有|yǒu|có
月|yuè|tháng, trăng
在|zài|tồn tại, ở, tại
再见|zàijiàn|tạm biệt
怎么|zěnme|thế nào, sao, làm sao
怎么样|zěnmeyàng|thế nào
这|zhè|đây, này
中国|Zhōngguó|Trung Quốc
中午|zhōngwǔ|trưa
住|zhù|ở, cư trú, dừng
桌子|zhuōzi|bàn
字|zì|chữ
昨天|zuótiān|hôm qua
做|zuò|làm
坐|zuò|ngồi

=== HSK2 ===
吧|ba|nhé, nhá
白|bái|trắng
百|bǎi|trăm
帮助|bāngzhù|cứu, giúp, giúp đỡ
报纸|bàozhǐ|báo chí
比|bǐ|so với…
别|bié|khác, đừng, chia lìa
长|cháng|dài, lớn
唱歌|chànggē|hát
出|chū|ra, xuất, đến
穿|chuān|mặc, đội
船|chuán|thuyền, tàu
次|cì|lần
从|cóng|từ, theo
错|cuò|sai
打篮球|dǎlánqiú|chơi bóng rổ
大家|dàjiā|mọi người
但是|dànshì|nhưng
到|dào|đi đến
地|de|trợ từ kết cấu
得|de|được, mắc (bệnh)
等|děng|chờ, đợi
弟弟|dìdi|em trai
第一|dìyī|thứ nhất
对|duì|đối với
房间|fángjiān|buồng, phòng
非常|fēicháng|rất, đặc biệt
分钟|fēnzhōng|phút
服务员|fúwùyuán|phục vụ bàn
高|gāo|cao
告诉|gàosu|bảo, nói
哥哥|gēge|anh trai
给|gěi|đưa cho
公共汽车|gōnggòngqìchē|xe bus
公斤|gōngjīn|cân, ký
公司|gōngsī|công ty
贵|guì|đắt, quý
过|guò|qua
还|hái|vẫn (còn)
孩子|háizi|trẻ em, trẻ con, em bé, con
好吃|hǎochī|ngon
号|hào|số, cỡ
黑|hēi|màu đen
红|hóng|đỏ
欢迎|huānyíng|chào mừng, hoan nghênh
回答|huídá|trả lời
机场|jīchǎng|sân bay
鸡蛋|jīdàn|trứng gà
件|jiàn|chiếc, cái kiện
教室|jiàoshì|lớp, phòng học
姐姐|jiějie|chị gái
介绍|jièshào|giới thiệu
进|jìn|tiến, vào
近|jìn|gần
就|jiù|thì, liền, ngay
觉得|juéde|cảm thấy, thấy
咖啡|kāfēi|cà phê
开始|kāishǐ|bắt đầu
考试|kǎoshì|thi cử
可能|kěnéng|có thể, có lẽ
可以|kěyǐ|có thể
课|kè|bài học
快|kuài|nhanh
快乐|kuàilè|hạnh phúc
累|lèi|mệt
离|lí|xa rời
两|liǎng|hai
路|lù|đường
旅游|lǚyóu|du lịch
慢|màn|chậm, tư từ
忙|máng|bận
每|měi|mỗi
妹妹|mèimei|em gái
男人|nánrén|con trai, đàn ông
您|nín|ngài, ông
牛奶|niúnǎi|sữa bò
女人|nǚrén|con gái, phụ nữ
旁边|pángbiān|bên cạnh
跑步|pǎobù|chạy bộ
便宜|piányi|rẻ
票|piào|vé
漂亮|piàoliang|xinh, đẹp
妻子|qīzi|vợ
起床|qǐchuáng|ngủ dậy
千|qiān|nghìn, ngàn
晴|qíng|trời nắng
去年|qùnián|năm ngoái
让|ràng|nhường, mới
上班|shàngbān|đi làm
身体|shēntǐ|cơ thể, thân thể
生病|shēngbìng|ốm, sinh bệnh
生日|shēngrì|sinh nhật
时间|shíjiān|thời gian
事情|shìqing|sự tình, sự việc
手表|shǒubiǎo|đồng hồ
送|sòng|tặng, đưa, tiễn
所以|suǒyǐ|cho nên
它|tā|nó
踢足球|tīzúqiú|đá bóng
题|tí|đề mục, đề
跳舞|tiàowǔ|múa, nhảy, khiêu vũ
外|wài|ngoài
玩|wán|chơi
完|wán|hết, xong
晚上|wǎnshang|buổi tối
喂|wèi|alô
为什么|wèishénme|vì sao, tại sao
问|wèn|hỏi
问题|wèntí|vấn đề
西瓜|xīguā|quả dưa hấu
希望|xīwàng|hy vọng, mong muốn
洗|xǐ|rửa, giặt, tẩy
向|xiàng|hướng, bênh vực
小时|xiǎoshí|tiếng, giờ
笑|xiào|cười
新|xīn|mới
姓|xìng|họ (tên)
休息|xiūxi|nghỉ, nghỉ ngơi
雪|xuě|tuyết
颜色|yánsè|màu sắc
眼睛|yǎnjing|mắt
羊肉|yángròu|thịt dê
药|yào|thuốc
要|yào|cần, sắp, muốn, phải
也|yě|cũng
已经|yǐjīng|đã, rồi
一起|yīqǐ|cùng
意思|yìsi|ý nghĩa
阴|yīn|râm, trời râm
因为|yīnwèi|bởi vì
游泳|yóuyǒng|bơi
右边|yòubian|bên phải
鱼|yú|con cá
元|yuán|đồng
远|yuǎn|xa
运动|yùndòng|vận động, thể thao
再|zài|nữa, hãy, lại, tiếp tục
早上|zǎoshang|buổi sáng
